"","County","Municipal_Appropriation","Home_County_Appropriation","Other_County_Payments_Adjacent_Counties","State_Funds","Federal_Funds","Contract_Income","Total_Income"
"1","Adams",29.3,63.7,0.5,0.2,0,1.4,100
"2","Ashland",54.5,9.3,9.5,0.5,0,0,100
"3","Barron",51.8,22.7,5.5,0,0,0,100
"4","Bayfield",52.8,23.4,1.9,0.9,0.6,0.1,100
"5","Brown",4.6,82.2,3.7,1.1,0.7,0,100
"6","Buffalo",72.6,19.1,5.7,1,0.2,0,100
"7","Burnett",42.6,40.1,1.7,1,0.3,0,100
"8","Calumet",49.2,26,12,0,0,0,100
"9","Chippewa",58.5,33,2.3,0,0,0,100
"10","Clark",48.6,32.7,1.7,0.5,0.1,0.2,100
"11","CNTY",NA,NA,NA,NA,NA,NA,NA
"12","Columbia",63.9,18.4,6,0.2,0.4,0.1,100
"13","Crawford",59.5,29.1,4.7,0,0,0,100
"14","Dane",67.4,21.7,1.1,0.7,0.1,1.8,100
"15","Dodge",71.3,16.7,4.7,0.1,0.1,0.1,100
"16","Door",4.6,93.3,0,0.3,0,0,100
"17","Douglas",60.1,18.6,1.1,1.8,0,0,100
"18","Dunn",39.7,46.4,3.2,0,0,0,100
"19","Eau Claire",62,12.1,4.7,0.4,0,3.8,100
"20","Florence",0,77,0,0.4,0,0,100
"21","Fond du Lac",61.7,27.3,1.6,0.2,0.1,0,100
"22","Forest",57.7,28.7,1.4,0.4,0,0,100
"23","Grant",62.9,17.2,4,0.3,0,1.1,100
"24","Green",72.7,13.5,2.2,0.1,0,0,100
"25","Green Lake",60.8,22.6,8.8,0,0.1,2.3,100
"26","Iowa",56.6,17,1.6,0,0,0,100
"27","Iron",65.7,8.3,0,1.2,0.1,0.1,100
"28","Jackson",51.3,38.9,3,0.9,0,0,100
"29","Jefferson",50.3,14.2,5,0.2,0,0.2,100
"30","Juneau",52.1,25.5,4,0.5,0.1,0,100
"31","Kenosha",62.5,16.7,0.9,4.3,0.2,1.6,100
"32","Kewaunee",55,37.6,0.3,0.8,0,0,100
"33","La Crosse",63.3,26.9,3.3,0.7,0,1.7,100
"34","Lafayette",62.4,18.3,3.9,0,0,0.9,100
"35","Langlade",44.9,44.9,3.2,0.1,0,0.1,100
"36","Lincoln",48,43,3.3,0.2,0.1,0,100
"37","Manitowoc",69.7,20.5,1,0.8,0.1,0,100
"38","Marathon",0,94.2,0,0.1,0,1.3,100
"39","Marinette",0,96.5,0,0.7,0,0,100
"40","Marquette",56.8,33.2,2.9,0,0,0,100
"41","Menominee",35,5.5,0,0.2,28.2,31.1,100
"42","Milwaukee",83.1,0,0,6.5,0.2,0.1,100
"43","Monroe",64,24.2,2.5,0.8,0.3,0.1,100
"44","Oconto",39.1,37.8,0,0.6,0,0.3,100
"45","Oneida",69.7,20.3,2.1,0.2,0,1.3,100
"46","Outagamie",66,21.6,4.3,0.3,0,0.4,100
"47","Ozaukee",78.1,10.4,0.5,0,0,0,100
"48","Pepin",49.5,31.8,12.3,0.1,0,0,100
"49","Pierce",62,19.7,9.5,0,0,0,100
"50","Polk",43.5,32.7,3.4,0,0.1,0,100
"51","Portage",1.8,94.2,0,0.2,0,0,100
"52","Price",58.4,29.9,4.7,0,0,2,100
"53","Racine",54.2,37.5,3.8,0.1,0,0.2,100
"54","Richland",53.3,21.3,4,0,0,1.4,100
"55","Rock",79.6,12.8,1.4,0.9,0.2,0.1,100
"56","Rusk",32.6,46.5,7,0,0,0,100
"57","Saint Croix",54.5,26.6,1.8,0,0,0,100
"58","Sauk",55.9,28,6.7,0.2,0,0,100
"59","Sawyer",13.4,43.2,6,0.7,10.7,0,100
"60","Shawano",14.2,79.3,0,0.9,0,0,100
"61","Sheboygan",65.8,19.6,2.6,0.2,0.2,1.4,100
"62","St. Croix",55.1,26.5,2.1,0,0,0,100
"63","Taylor",38.3,44.6,2.5,0.5,0,0.3,100
"64","Trempealeau",60,28.4,4.5,0.7,0.1,0.4,100
"65","Vernon",57.1,26.8,6.5,1.7,0.1,0.4,100
"66","Vilas",60.2,2.6,1.1,0.9,0.4,1.6,100
"67","Walworth",57.4,33.8,1.1,0,0,0.3,100
"68","Washburn",51.2,33.9,6.8,0.8,0.1,0.2,100
"69","Washington",57.9,32.9,2.1,0.1,0,1.2,100
"70","Waukesha",74.7,18.1,2.4,0.1,0.1,0.8,100
"71","Waupaca",52.2,34.9,5.3,0.7,0.1,0,100
"72","Waushara",36.8,46.2,2.5,0,0,5.5,100
"73","Winnebago",64.6,25.9,1.6,0,0,3.2,100
"74","Wood",67,22.2,1.2,0.1,0.1,0.1,100
"75","All",84.6,84.8,90.3,93.5,96.9,99.2,100
